"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1622637018,0,0,0,0,0,2685,5072,5526,10150,2666,5024,5486,10054,19,48,40,96
1622637019,0,0,0,0,0,2701,5108,5556,10222,2685,5072,5526,10150,16,36,30,72
1622637020,0,0,0,0,0,2720,5151,5594,10308,2701,5108,5556,10222,19,43,38,86
1622637022,0,0,0,0,0,2736,5192,5628,10390,2720,5151,5594,10308,16,41,34,82
1622637023,0,0,0,0,0,2774,5285,5704,10576,2736,5192,5628,10390,38,93,76,186
1622637024,0,0,0,0,0,2794,5330,5742,10667,2774,5285,5704,10576,20,45,38,91
1622637025,0,0,0,0,0,2809,5365,5772,10737,2794,5330,5742,10667,15,35,30,70
1622637026,0,0,0,0,0,2829,5413,5812,10833,2809,5365,5772,10737,20,48,40,96
1622637027,0,0,0,0,0,2849,5461,5852,10929,2829,5413,5812,10833,20,48,40,96
1622637028,0,0,0,0,0,2865,5496,5884,11000,2849,5461,5852,10929,16,35,32,71
1622637029,0,0,0,0,0,2883,5544,5922,11096,2865,5496,5884,11000,18,48,38,96
1622637030,0,0,0,0,0,2899,5580,5952,11168,2883,5544,5922,11096,16,36,30,72
1622637031,0,0,0,0,0,2918,5628,5992,11264,2899,5580,5952,11168,19,48,40,96
1622637032,0,0,0,0,0,2939,5675,6032,11359,2918,5628,5992,11264,21,47,40,95
1622637033,0,0,0,0,0,2954,5710,6062,11429,2939,5675,6032,11359,15,35,30,70
1622637034,0,0,0,0,0,2973,5758,6102,11525,2954,5710,6062,11429,19,48,40,96
1622637035,0,0,0,0,0,2988,5794,6132,11597,2973,5758,6102,11525,15,36,30,72
1622637036,0,0,0,0,0,3008,5841,6172,11692,2988,5794,6132,11597,20,47,40,95
1622637037,0,0,0,0,0,3029,5889,6212,11788,3008,5841,6172,11692,21,48,40,96
1622637038,0,0,0,0,0,3044,5925,6242,11860,3029,5889,6212,11788,15,36,30,72
1622637039,0,0,0,0,0,3064,5973,6282,11956,3044,5925,6242,11860,20,48,40,96
1622637040,0,0,0,0,0,3079,6007,6312,12025,3064,5973,6282,11956,15,34,30,69
1622637041,0,0,0,0,0,3098,6055,6352,12121,3079,6007,6312,12025,19,48,40,96
1622637042,0,0,0,0,0,3119,6103,6392,12217,3098,6055,6352,12121,21,48,40,96
1622637043,0,0,0,0,0,3133,6139,6422,12289,3119,6103,6392,12217,14,36,30,72
1622637044,0,0,0,0,0,3153,6187,6462,12385,3133,6139,6422,12289,20,48,40,96
1622637045,0,0,0,0,0,3168,6223,6492,12457,3153,6187,6462,12385,15,36,30,72
1622637046,0,0,0,0,0,3189,6271,6532,12553,3168,6223,6492,12457,21,48,40,96
1622637047,0,0,0,0,0,3206,6311,6568,12633,3189,6271,6532,12553,17,40,36,80
1622637048,0,0,0,0,0,3221,6347,6598,12705,3206,6311,6568,12633,15,36,30,72
1622637049,0,0,0,0,0,3244,6402,6642,12815,3221,6347,6598,12705,23,55,44,110
1622637050,0,0,0,0,0,3259,6438,6672,12887,3244,6402,6642,12815,15,36,30,72
1622637051,0,0,0,0,0,3278,6486,6712,12983,3259,6438,6672,12887,19,48,40,96
1622637052,0,0,0,0,0,3299,6534,6752,13079,3278,6486,6712,12983,21,48,40,96
1622637053,0,0,0,0,0,3314,6570,6782,13151,3299,6534,6752,13079,15,36,30,72
1622637054,0,0,0,0,0,3333,6618,6822,13247,3314,6570,6782,13151,19,48,40,96
1622637055,0,0,0,0,0,3349,6653,6852,13317,3333,6618,6822,13247,16,35,30,70
1622637056,0,0,0,0,0,3369,6701,6892,13413,3349,6653,6852,13317,20,48,40,96
1622637057,0,0,0,0,0,3389,6749,6932,13509,3369,6701,6892,13413,20,48,40,96
1622637058,0,0,0,0,0,3403,6785,6962,13581,3389,6749,6932,13509,14,36,30,72
1622637059,0,0,0,0,0,3424,6831,7002,13673,3403,6785,6962,13581,21,46,40,92
1622637060,0,0,0,0,0,3439,6869,7032,13749,3424,6831,7002,13673,15,38,30,76
1622637061,0,0,0,0,0,3459,6917,7072,13845,3439,6869,7032,13749,20,48,40,96
1622637062,0,0,0,0,0,3478,6965,7112,13941,3459,6917,7072,13845,19,48,40,96
1622637063,0,0,0,0,0,3494,7000,7142,14011,3478,6965,7112,13941,16,35,30,70
1622637064,0,0,0,0,0,3514,7048,7182,14107,3494,7000,7142,14011,20,48,40,96
1622637065,0,0,0,0,0,3529,7084,7212,14179,3514,7048,7182,14107,15,36,30,72
1622637066,0,0,0,0,0,3549,7132,7252,14275,3529,7084,7212,14179,20,48,40,96
1622637067,0,0,0,0,0,3566,7173,7288,14357,3549,7132,7252,14275,17,41,36,82
1622637068,0,0,0,0,0,3586,7221,7326,14453,3566,7173,7288,14357,20,48,38,96
1622637069,0,0,0,0,0,3601,7256,7358,14523,3586,7221,7326,14453,15,35,32,70
1622637070,0,0,0,0,0,3621,7304,7396,14619,3601,7256,7358,14523,20,48,38,96
1622637071,0,0,0,0,0,3640,7352,7436,14715,3621,7304,7396,14619,19,48,40,96
1622637072,0,0,0,0,0,3655,7388,7466,14787,3640,7352,7436,14715,15,36,30,72
1622637073,0,0,0,0,0,3676,7436,7506,14883,3655,7388,7466,14787,21,48,40,96
1622637074,0,0,0,0,0,3691,7472,7536,14955,3676,7436,7506,14883,15,36,30,72
1622637075,0,0,0,0,0,3711,7520,7576,15051,3691,7472,7536,14955,20,48,40,96
1622637076,0,0,0,0,0,3730,7566,7616,15144,3711,7520,7576,15051,19,46,40,93
1622637077,0,0,0,0,0,3746,7600,7646,15212,3730,7566,7616,15144,16,34,30,68
1622637078,0,0,0,0,0,3763,7643,7680,15298,3746,7600,7646,15212,17,43,34,86
1622637079,0,0,0,0,0,3783,7691,7720,15394,3763,7643,7680,15298,20,48,40,96
1622637080,0,0,0,0,0,3802,7738,7760,15489,3783,7691,7720,15394,19,47,40,95
1622637081,0,0,0,0,0,3818,7774,7790,15561,3802,7738,7760,15489,16,36,30,72
1622637082,0,0,0,0,0,3838,7821,7830,15655,3818,7774,7790,15561,20,47,40,94
1622637083,0,0,0,0,0,3853,7857,7860,15727,3838,7821,7830,15655,15,36,30,72
1622637084,0,0,0,0,0,3873,7905,7900,15823,3853,7857,7860,15727,20,48,40,96
1622637085,0,0,0,0,0,3892,7953,7940,15919,3873,7905,7900,15823,19,48,40,96
1622637086,0,0,0,0,0,3908,7989,7970,15991,3892,7953,7940,15919,16,36,30,72
1622637087,0,0,0,0,0,3928,8034,8010,16081,3908,7989,7970,15991,20,45,40,90
1622637088,0,0,0,0,0,3943,8070,8040,16153,3928,8034,8010,16081,15,36,30,72
1622637089,0,0,0,0,0,3964,8123,8082,16259,3943,8070,8040,16153,21,53,42,106
1622637090,0,0,0,0,0,3979,8159,8112,16331,3964,8123,8082,16259,15,36,30,72
1622637091,0,0,0,0,0,3999,8207,8152,16427,3979,8159,8112,16331,20,48,40,96
1622637092,0,0,0,0,0,4019,8255,8192,16523,3999,8207,8152,16427,20,48,40,96
1622637093,0,0,0,0,0,4031,8283,8218,16579,4019,8255,8192,16523,12,28,26,56
1622637094,0,0,0,0,0,4054,8341,8264,16695,4031,8283,8218,16579,23,58,46,116
1622637095,0,0,0,0,0,4069,8377,8294,16767,4054,8341,8264,16695,15,36,30,72
1622637096,0,0,0,0,0,4090,8424,8334,16861,4069,8377,8294,16767,21,47,40,94
1622637097,0,0,0,0,0,4104,8460,8364,16933,4090,8424,8334,16861,14,36,30,72
1622637098,0,0,0,0,0,4124,8508,8404,17029,4104,8460,8364,16933,20,48,40,96
1622637099,0,0,0,0,0,4144,8556,8444,17125,4124,8508,8404,17029,20,48,40,96
1622637100,0,0,0,0,0,4159,8592,8474,17197,4144,8556,8444,17125,15,36,30,72
1622637101,0,0,0,0,0,4180,8640,8514,17293,4159,8592,8474,17197,21,48,40,96
1622637102,0,0,0,0,0,4184,8647,8522,17307,4180,8640,8514,17293,4,7,8,14
1622637103,0,0,0,0,0,4215,8723,8584,17459,4184,8647,8522,17307,31,76,62,152
1622637104,0,0,0,0,0,4217,8726,8588,17465,4215,8723,8584,17459,2,3,4,6
1622637105,0,0,0,0,0,4252,8814,8660,17641,4217,8726,8588,17465,35,88,72,176
1622637106,0,0,0,0,0,4268,8850,8690,17713,4252,8814,8660,17641,16,36,30,72
1622637107,0,0,0,0,0,4287,8897,8730,17808,4268,8850,8690,17713,19,47,40,95
1622637108,0,0,0,0,0,4303,8933,8760,17880,4287,8897,8730,17808,16,36,30,72
1622637110,0,0,0,0,0,4319,8969,8792,17952,4303,8933,8760,17880,16,36,32,72
