"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1625762567,0,0,0,0,0,1546,3616,3226,7240,1526,3568,3186,7144,20,48,40,96
1625762568,0,0,0,0,0,1561,3652,3256,7312,1546,3616,3226,7240,15,36,30,72
1625762569,0,0,0,0,0,1581,3700,3296,7408,1561,3652,3256,7312,20,48,40,96
1625762570,0,0,0,0,0,1596,3736,3326,7480,1581,3700,3296,7408,15,36,30,72
1625762571,0,0,0,0,0,1616,3783,3366,7574,1596,3736,3326,7480,20,47,40,94
1625762572,0,0,0,0,0,1636,3831,3406,7670,1616,3783,3366,7574,20,48,40,96
1625762573,0,0,0,0,0,1651,3867,3436,7742,1636,3831,3406,7670,15,36,30,72
1625762574,0,0,0,0,0,1671,3915,3476,7838,1651,3867,3436,7742,20,48,40,96
1625762575,0,0,0,0,0,1686,3951,3506,7910,1671,3915,3476,7838,15,36,30,72
1625762576,0,0,0,0,0,1706,3999,3546,8006,1686,3951,3506,7910,20,48,40,96
1625762577,0,0,0,0,0,1727,4047,3586,8102,1706,3999,3546,8006,21,48,40,96
1625762578,0,0,0,0,0,1741,4083,3616,8174,1727,4047,3586,8102,14,36,30,72
1625762579,0,0,0,0,0,1761,4130,3656,8268,1741,4083,3616,8174,20,47,40,94
1625762580,0,0,0,0,0,1776,4166,3686,8340,1761,4130,3656,8268,15,36,30,72
1625762581,0,0,0,0,0,1796,4214,3726,8436,1776,4166,3686,8340,20,48,40,96
1625762582,0,0,0,0,0,1816,4262,3766,8532,1796,4214,3726,8436,20,48,40,96
1625762583,0,0,0,0,0,1831,4297,3796,8603,1816,4262,3766,8532,15,35,30,71
1625762584,0,0,0,0,0,1851,4345,3836,8699,1831,4297,3796,8603,20,48,40,96
1625762585,0,0,0,0,0,1866,4381,3866,8771,1851,4345,3836,8699,15,36,30,72
1625762586,0,0,0,0,0,1886,4428,3906,8865,1866,4381,3866,8771,20,47,40,94
1625762587,0,0,0,0,0,1906,4476,3946,8961,1886,4428,3906,8865,20,48,40,96
1625762588,0,0,0,0,0,1921,4512,3976,9033,1906,4476,3946,8961,15,36,30,72
1625762589,0,0,0,0,0,1941,4560,4016,9129,1921,4512,3976,9033,20,48,40,96
1625762590,0,0,0,0,0,1956,4596,4046,9201,1941,4560,4016,9129,15,36,30,72
1625762591,0,0,0,0,0,1976,4644,4086,9297,1956,4596,4046,9201,20,48,40,96
1625762592,0,0,0,0,0,1996,4692,4126,9393,1976,4644,4086,9297,20,48,40,96
1625762593,0,0,0,0,0,2011,4728,4156,9465,1996,4692,4126,9393,15,36,30,72
1625762594,0,0,0,0,0,2031,4775,4196,9559,2011,4728,4156,9465,20,47,40,94
1625762595,0,0,0,0,0,2046,4811,4226,9631,2031,4775,4196,9559,15,36,30,72
1625762596,0,0,0,0,0,2066,4859,4266,9727,2046,4811,4226,9631,20,48,40,96
1625762597,0,0,0,0,0,2086,4907,4306,9823,2066,4859,4266,9727,20,48,40,96
1625762598,0,0,0,0,0,2101,4943,4336,9895,2086,4907,4306,9823,15,36,30,72
1625762599,0,0,0,0,0,2121,4990,4376,9990,2101,4943,4336,9895,20,47,40,95
1625762600,0,0,0,0,0,2136,5026,4406,10062,2121,4990,4376,9990,15,36,30,72
1625762601,0,0,0,0,0,2156,5073,4446,10156,2136,5026,4406,10062,20,47,40,94
1625762602,0,0,0,0,0,2176,5121,4486,10252,2156,5073,4446,10156,20,48,40,96
1625762603,0,0,0,0,0,2181,5131,4496,10272,2176,5121,4486,10252,5,10,10,20
1625762604,0,0,0,0,0,2209,5196,4552,10403,2181,5131,4496,10272,28,65,56,131
1625762605,0,0,0,0,0,2230,5249,4594,10509,2209,5196,4552,10403,21,53,42,106
1625762606,0,0,0,0,0,2245,5284,4624,10579,2230,5249,4594,10509,15,35,30,70
1625762607,0,0,0,0,0,2266,5332,4666,10675,2245,5284,4624,10579,21,48,42,96
1625762608,0,0,0,0,0,2280,5368,4694,10747,2266,5332,4666,10675,14,36,28,72
1625762609,0,0,0,0,0,2300,5416,4734,10843,2280,5368,4694,10747,20,48,40,96
1625762610,0,0,0,0,0,2320,5464,4774,10939,2300,5416,4734,10843,20,48,40,96
1625762611,0,0,0,0,0,2335,5499,4804,11010,2320,5464,4774,10939,15,35,30,71
1625762612,0,0,0,0,0,2355,5547,4844,11106,2335,5499,4804,11010,20,48,40,96
1625762613,0,0,0,0,0,2372,5587,4878,11186,2355,5547,4844,11106,17,40,34,80
1625762614,0,0,0,0,0,2392,5635,4918,11282,2372,5587,4878,11186,20,48,40,96
1625762615,0,0,0,0,0,2407,5670,4948,11353,2392,5635,4918,11282,15,35,30,71
1625762616,0,0,0,0,0,2427,5718,4988,11449,2407,5670,4948,11353,20,48,40,96
1625762617,0,0,0,0,0,2442,5754,5018,11521,2427,5718,4988,11449,15,36,30,72
1625762618,0,0,0,0,0,2462,5802,5058,11617,2442,5754,5018,11521,20,48,40,96
1625762619,0,0,0,0,0,2478,5838,5090,11689,2462,5802,5058,11617,16,36,32,72
1625762620,0,0,0,0,0,2497,5885,5128,11783,2478,5838,5090,11689,19,47,38,94
1625762621,0,0,0,0,0,2517,5933,5168,11879,2497,5885,5128,11783,20,48,40,96
1625762622,0,0,0,0,0,2532,5969,5198,11951,2517,5933,5168,11879,15,36,30,72
1625762623,0,0,0,0,0,2552,6017,5238,12047,2532,5969,5198,11951,20,48,40,96
1625762624,0,0,0,0,0,2572,6065,5278,12143,2552,6017,5238,12047,20,48,40,96
1625762625,0,0,0,0,0,2587,6101,5308,12215,2572,6065,5278,12143,15,36,30,72
