"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1621899477,0,0,0,0,0,4448,8040,9225,16089,4427,7991,9183,15991,21,49,42,98
1621899478,0,0,0,0,0,4454,8053,9237,16115,4448,8040,9225,16089,6,13,12,26
1621899479,0,0,0,0,0,4484,8124,9297,16258,4454,8053,9237,16115,30,71,60,143
1621899480,0,0,0,0,0,4499,8160,9327,16330,4484,8124,9297,16258,15,36,30,72
1621899481,0,0,0,0,0,4519,8208,9367,16426,4499,8160,9327,16330,20,48,40,96
1621899482,0,0,0,0,0,4539,8255,9407,16521,4519,8208,9367,16426,20,47,40,95
1621899483,0,0,0,0,0,4554,8291,9437,16593,4539,8255,9407,16521,15,36,30,72
1621899484,0,0,0,0,0,4574,8339,9477,16689,4554,8291,9437,16593,20,48,40,96
1621899485,0,0,0,0,0,4587,8370,9503,16751,4574,8339,9477,16689,13,31,26,62
1621899486,0,0,0,0,0,4610,8425,9549,16861,4587,8370,9503,16751,23,55,46,110
1621899487,0,0,0,0,0,4627,8466,9583,16943,4610,8425,9549,16861,17,41,34,82
1621899488,0,0,0,0,0,4647,8513,9623,17037,4627,8466,9583,16943,20,47,40,94
1621899489,0,0,0,0,0,4662,8549,9653,17109,4647,8513,9623,17037,15,36,30,72
1621899490,0,0,0,0,0,4682,8596,9693,17204,4662,8549,9653,17109,20,47,40,95
1621899491,0,0,0,0,0,4697,8632,9723,17276,4682,8596,9693,17204,15,36,30,72
1621899492,0,0,0,0,0,4717,8680,9763,17372,4697,8632,9723,17276,20,48,40,96
1621899493,0,0,0,0,0,4737,8728,9803,17468,4717,8680,9763,17372,20,48,40,96
1621899494,0,0,0,0,0,4752,8764,9833,17540,4737,8728,9803,17468,15,36,30,72
1621899495,0,0,0,0,0,4772,8811,9873,17634,4752,8764,9833,17540,20,47,40,94
1621899496,0,0,0,0,0,4787,8847,9903,17706,4772,8811,9873,17634,15,36,30,72
1621899497,0,0,0,0,0,4805,8890,9939,17792,4787,8847,9903,17706,18,43,36,86
1621899498,0,0,0,0,0,4822,8935,9973,17882,4805,8890,9939,17792,17,45,34,90
1621899499,0,0,0,0,0,4829,8982,10024,17976,4822,8935,9973,17882,7,47,51,94
1621899500,0,0,0,0,0,4844,9027,10060,18066,4829,8982,10024,17976,15,45,36,90
1621899501,0,0,0,0,0,4869,9072,10110,18156,4844,9027,10060,18066,25,45,50,90
1621899502,0,0,0,0,0,4887,9109,10146,18230,4869,9072,10110,18156,18,37,36,74
1621899503,0,0,0,0,0,4893,9153,10208,18318,4887,9109,10146,18230,6,44,62,88
1621899504,0,0,0,0,0,4911,9199,10224,18410,4893,9153,10208,18318,18,46,16,92
1621899505,0,0,0,0,0,4943,9245,10288,18502,4911,9199,10224,18410,32,46,64,92
1621899506,0,0,0,0,0,4966,9287,10335,18586,4943,9245,10288,18502,23,42,47,84
1621899507,0,0,0,0,0,4971,9321,10379,18654,4966,9287,10335,18586,5,34,44,68
1621899508,0,0,0,0,0,4985,9366,10415,18744,4971,9321,10379,18654,14,45,36,90
